term,variable,clase_origen,ola_origen,periodo,clase_destino,comparacion,coeficiente,se,z,p_value,or,or_ic_lower,or_ic_upper,significativo,signo
d5_1,Justicia procedimental,2,2018,2018_2021,3,Clase 3 vs Clase 1,-1.2866,0.21560000000000001,-5.9664,0,0.2762,0.181,0.4215,TRUE,negativo
d5_1,Justicia procedimental,2,2018,2018_2021,4,Clase 4 vs Clase 1,0.4554,0.1897,2.4,0.0164,1.5768,1.0871,2.287,TRUE,positivo
d6_1,Identificación con la causa,2,2018,2018_2021,2,Clase 2 vs Clase 1,0.2863,0.1153,2.4827,0.013,1.3315,1.0621,1.6692,TRUE,positivo
d6_1,Identificación con la causa,2,2018,2018_2021,3,Clase 3 vs Clase 1,1.1509,0.2684,4.2878,0,3.1611,1.8679,5.3495,TRUE,positivo
d6_1,Identificación con la causa,2,2018,2018_2021,4,Clase 4 vs Clase 1,0.9269,0.1668,5.5567,0,2.5266,1.822,3.5037,TRUE,positivo
c13,Frecuencia de contacto,2,2018,2018_2021,2,Clase 2 vs Clase 1,-0.163,0.1061,-1.5368,0.1243,0.8496,0.6901,1.0459,FALSE,negativo
c13,Frecuencia de contacto,2,2018,2018_2021,3,Clase 3 vs Clase 1,-0.2971,0.1616,-1.8382,0.066,0.7429,0.5412,1.0199,FALSE,negativo
c13,Frecuencia de contacto,2,2018,2018_2021,4,Clase 4 vs Clase 1,-0.1659,0.145,-1.1442,0.2526,0.8471,0.6375,1.1256,FALSE,negativo
intercept,intercept,3,2021,2021_2023,2,Clase 2 vs Clase 1,4.9096,1.0917,4.4971,0,135.5905,15.9558,1152.2344,TRUE,positivo
intercept,intercept,3,2021,2021_2023,3,Clase 3 vs Clase 1,-2.7346,1.5177,-1.8018,0.0716,0.0649,0.0033,1.2713,FALSE,negativo
intercept,intercept,3,2021,2021_2023,4,Clase 4 vs Clase 1,-4.6369,1.8484,-2.5085,0.0121,0.0097,3e-4,0.3628,TRUE,negativo
urbano_rural,Zona urbana,3,2021,2021_2023,2,Clase 2 vs Clase 1,-0.4302,0.3403,-1.2642,0.2062,0.6504,0.3338,1.2672,FALSE,negativo
urbano_rural,Zona urbana,3,2021,2021_2023,3,Clase 3 vs Clase 1,0.847,0.4409,1.9211,0.0547,2.3326,0.983,5.535,FALSE,positivo
urbano_rural,Zona urbana,3,2021,2021_2023,4,Clase 4 vs Clase 1,0.5712,0.417,1.37,0.1707,1.7704,0.7819,4.0086,FALSE,positivo
mujerMujer,Mujer,3,2021,2021_2023,2,Clase 2 vs Clase 1,0.3009,0.2557,1.1766,0.2394,1.3511,0.8184,2.2303,FALSE,positivo
mujerMujer,Mujer,3,2021,2021_2023,3,Clase 3 vs Clase 1,0.7919,0.4103,1.9302,0.0536,2.2077,0.9878,4.9338,FALSE,positivo
mujerMujer,Mujer,3,2021,2021_2023,4,Clase 4 vs Clase 1,1.5678,0.526,2.9809,0.0029,4.7961,1.7107,13.4461,TRUE,positivo
indiindi,Identidad indígena,3,2021,2021_2023,2,Clase 2 vs Clase 1,0.0842,0.2912,0.289,0.7726,1.0878,0.6147,1.9249,FALSE,positivo
indiindi,Identidad indígena,3,2021,2021_2023,3,Clase 3 vs Clase 1,-0.4877,0.4156,-1.1737,0.2405,0.614,0.2719,1.3865,FALSE,negativo
indiindi,Identidad indígena,3,2021,2021_2023,4,Clase 4 vs Clase 1,-0.4982,0.4096,-1.2164,0.2238,0.6076,0.2723,1.356,FALSE,negativo
edad.L,Edad,3,2021,2021_2023,2,Clase 2 vs Clase 1,-0.2781,0.4559,-0.61,0.5419,0.7572,0.3099,1.8504,FALSE,negativo
edad.L,Edad,3,2021,2021_2023,3,Clase 3 vs Clase 1,7.519,0.3688,20.3874,0,1842.8022,894.4226,3796.7736,TRUE,positivo
edad.L,Edad,3,2021,2021_2023,4,Clase 4 vs Clase 1,0.1222,0.6366,0.192,0.8478,1.13,0.3245,3.9347,FALSE,positivo
edad.Q,Edad,3,2021,2021_2023,2,Clase 2 vs Clase 1,-1.0133,0.4262,-2.3776,0.0174,0.363,0.1574,0.8369,TRUE,negativo
edad.Q,Edad,3,2021,2021_2023,3,Clase 3 vs Clase 1,-6.9464,0.3875,-17.9258,0,0.001,5e-4,0.0021,TRUE,negativo
edad.Q,Edad,3,2021,2021_2023,4,Clase 4 vs Clase 1,-0.4662,0.5899,-0.7902,0.4294,0.6274,0.1974,1.9939,FALSE,negativo
edad.C,Edad,3,2021,2021_2023,2,Clase 2 vs Clase 1,-0.2325,0.3435,-0.677,0.4984,0.7925,0.4042,1.5538,FALSE,negativo
edad.C,Edad,3,2021,2021_2023,3,Clase 3 vs Clase 1,4.7834,0.3769,12.692,0,119.5071,57.0933,250.1509,TRUE,positivo
