folio,ola,urbano_rural,mujer,indi,edad,d1_1,c5,d5_1,d6_1,c13,d3_1_red,d3_2_red,d4_2_red,d4_3_red,time4
110101401,2,1,Mujer,indi,55_64,3,5,2,5,5,2,1,1,1,2
110101401,3,1,Mujer,indi,55_64,3,5,4,4,1,2,2,2,1,3
110101401,4,1,Mujer,indi,55_64,3,5,5,5,1,1,1,1,1,4
110101403,1,1,Mujer,indi,55_64,4,4,4,4,1,2,1,2,1,1
110101403,2,1,Mujer,indi,55_64,4,4,1,4,1,1,1,2,2,2
110101403,3,1,Mujer,indi,55_64,4,4,3,4,1,1,1,2,2,3
110101403,4,1,Mujer,no_indi,55_64,2,3,4,4,3,1,1,1,1,4
110101405,1,1,Mujer,no_indi,45_54,4,3,2,4,1,1,1,2,1,1
110101405,2,1,Mujer,no_indi,45_54,5,3,1,4,2,1,2,2,1,2
110101405,3,1,Mujer,no_indi,55_64,5,4,2,4,3,1,1,2,1,3
110101405,4,1,Mujer,no_indi,55_64,4,4,3,3,4,2,2,2,2,4
110101406,1,1,Mujer,no_indi,45_54,4,2,3,4,2,1,1,2,1,1
110101406,2,1,Mujer,no_indi,45_54,4,3,3,4,3,2,2,2,1,2
110101406,3,1,Mujer,no_indi,45_54,4,2,3,3,2,1,1,2,1,3
110101406,4,1,Mujer,indi,55_64,5,2,4,3,2,2,2,1,1,4
110101407,1,1,Hombre,indi,18_24,4,5,2,4,1,2,1,2,2,1
110101407,2,1,Hombre,indi,25_34,3,2,3,3,4,2,1,2,2,2
110101407,3,1,Hombre,indi,25_34,5,4,3,4,3,1,1,1,1,3
110101407,4,1,Hombre,indi,25_34,4,3,1,4,4,1,1,1,1,4
110101408,1,1,Mujer,no_indi,65+,4,3,3,3,1,1,1,1,1,1
110101408,2,1,Mujer,no_indi,65+,4,1,2,4,1,1,1,1,1,2
110101408,3,1,Mujer,indi,65+,5,1,3,4,1,2,1,2,2,3
110101408,4,1,Mujer,indi,65+,3,4,4,1,1,2,2,1,1,4
110101501,1,1,Mujer,indi,25_34,4,5,2,5,3,1,1,1,1,1
110101501,2,1,Mujer,indi,25_34,4,4,4,5,3,2,1,1,2,2
110101501,3,1,Mujer,indi,25_34,4,4,4,4,3,2,2,2,2,3
110101501,4,1,Mujer,indi,35_44,4,3,4,4,3,2,2,2,2,4
110101504,1,1,Mujer,no_indi,35_44,4,4,2,4,3,1,1,2,2,1
110101504,2,1,Mujer,no_indi,45_54,4,4,2,5,3,1,1,2,2,2
110101504,3,1,Mujer,indi,45_54,3,4,2,4,3,1,1,2,2,3
110101504,4,1,Mujer,no_indi,45_54,2,4,4,4,2,1,1,1,1,4
110101506,1,1,Mujer,no_indi,35_44,4,4,2,5,5,1,1,1,1,1
110101506,2,1,Mujer,no_indi,45_54,4,3,2,4,4,1,1,2,2,2
110101506,3,1,Mujer,no_indi,45_54,5,4,1,5,5,1,1,2,2,3
110101506,4,1,Mujer,no_indi,45_54,4,4,5,4,3,2,2,2,2,4
110101507,1,1,Mujer,no_indi,25_34,4,1,2,4,1,1,1,1,1,1
110101507,2,1,Mujer,no_indi,25_34,4,2,1,2,1,1,1,1,1,2
110101507,3,1,Mujer,no_indi,35_44,2,1,2,3,1,1,1,1,1,3
110101507,4,1,Mujer,no_indi,35_44,3,3,3,3,3,2,2,2,2,4
110101601,1,1,Mujer,indi,18_24,5,4,1,5,4,1,2,2,1,1
110101601,2,1,Mujer,indi,25_34,5,5,3,5,4,2,1,2,2,2
110101601,3,1,Mujer,indi,25_34,5,4,2,4,3,1,1,2,2,3
110101601,4,1,Mujer,indi,25_34,5,5,5,5,1,2,1,1,1,4
110101603,1,1,Mujer,indi,45_54,3,5,2,4,4,1,1,1,1,1
110101603,2,1,Mujer,indi,55_64,3,4,4,4,4,1,1,1,1,2
110101603,3,1,Mujer,indi,55_64,4,2,3,4,3,1,1,2,1,3
110101603,4,1,Mujer,indi,55_64,4,4,2,3,2,1,1,1,1,4
